SPID,DiffEx_ID
Q5XI06,
Q13887,
Q5FVG1,
Q9NXG6,
Q9XWF4,
Q32LQ0,
A4FUY7,
Q9BUI4,
D2GXS7,
Q13310,
Q2EMV9,
O13148,
P34371,
Q5RKI3,
P0AFQ4,
P0A9U1,
P75777,
Q93RV9,
B0JZG0,
Q9GKX6,
Q93149,
Q4R7X9,
P48597,
P26591,
P14543,
Q3T0Z7,
Q5XK91,
Q96RW7,
Q923L3,
Q7ZWG9,
P98068,
P71359,
P86410,
Q6ZRF8,
O48709,
Q9R0Y1,
A4IGL7,
Q9CTN8,CGI_10000536
Q9WVL6,
Q9WVF7,
Q9DBT5,
P20771,
Q9U8W7,
Q2KI56,
Q8K3K9,
P79955,CGI_10000555
O13997,
Q5TYP4,
A7RLE5,
Q2VLG6,
Q8K1A0,
P54412,
Q8N0N3,
Q8BPP0,
Q9ESN6,CGI_10000580
B3MTS8,
P09661,CGI_10000585
Q6TH15,
Q5BJP6,CGI_10000590
Q71LX4,
P97471,
P30050,
Q9VUL9,
O75382,
Q964E3,CGI_10000602
P46531,
B2RZC9,
O75382,
P24044,
Q3TLH4,
A2A690,CGI_10000610
Q9CPW4,CGI_10000611
D3ZQG6,
Q9UPM9,
Q9P0S9,
Q6PFY8,
Q9WTK8,
Q9Y4E8,
Q9JM13,CGI_10000627
Q8BGV0,
Q9H4G4,
P61958,
O95149,
Q5BLE8,
P57756,
Q58CW6,
P40312,
Q4GZT3,
Q2XVR6,
Q6PFD7,
Q9DEE9,
Q9GZN1,
Q53G44,
Q07553,
Q27245,
A0A8J8,
Q7PR68,
Q5EAW9,
Q5VWG9,
Q7TSQ8,
Q8NCN5,CGI_10000683
Q3T102,
O75382,
O01666,
Q9QYI6,
A4IF63,CGI_10000692
Q5ZIJ9,
Q10711,CGI_10000696
Q8CIQ7,
P86856,
B4ETA5,
Q28175,
Q9NUV9,
Q9H3K2,
Q2KI06,
P17342,
B7QDG3,
Q5F371,
Q6CQE5,CGI_10000725
P00620,
Q9JK81,
Q5ZKH3,
Q5XK91,
D2GXS7,CGI_10000737
A7RKF6,CGI_10000738
Q01528,
Q2TAW0,
P31228,
Q7T321,
Q8TCT0,
Q9GUM2,
Q9ESN6,
Q7Z3U7,
O75382,
Q80X19,
Q13825,
A6H7B8,
Q5R875,
Q0VG85,
Q9Y6G5,
P18503,
P05450,
Q91398,
Q5R9B8,
Q60934,
Q95ZJ1,
Q61184,
Q6MFY5,
Q15369,
O73792,
Q9BXL7,
Q8K0U4,
P42435,
P08201,
P08201,
Q06457,
Q9Y6R7,
O18883,
Q08890,
Q9H8W5,
O75382,
O75382,
P18503,
Q8AYG3,
Q5RBH9,
Q4ZJM9,
Q9ES30,
P55112,
Q9ZAQ8,
Q9NZJ4,
Q6PFY8,CGI_10000839
Q53E76,CGI_10000840
Q08DA7,
Q14315,
Q2TBL4,
A9JTP3,CGI_10000852
Q66S25,
Q8K212,
Q8C525,
Q9HC10,
Q5VUA4,
Q2YDM5,
Q99L04,
Q7T2L7,CGI_10000871
Q6PAL0,
Q80V70,CGI_10000877
Q2YY67,
Q8R431,
Q96GP6,
P08183,CGI_10000886
Q64323,
Q5I0H9,
Q9VR81,
Q8BP56,
Q5PQ71,
Q12789,
Q6NSM8,
Q13901,
O15031,
Q717R8,
Q5NVP9,
Q5E980,
Q4ZJM9,
Q9XWF4,
Q8IYB1,
Q54MC6,
O43301,
Q924W6,
Q5GFD9,
Q9VZS6,
Q6R5N8,
Q9JLT4,
O61366,
P59222,
P08962,
Q9D0R4,
Q5RAZ4,
D2GXS7,
Q3U1T9,
Q9GJU1,CGI_10000942
Q5ZKP7,CGI_10000947
Q5H9S7,CGI_10000948
B9A8D7,
P0CY46,
Q16698,
Q8CEI1,
Q9Y6R4,
O70497,
Q9I9M5,
Q91909,
P12955,
Q071E0,
Q9H2J4,
Q00546,
Q9BXJ4,
Q9U8W8,
Q96GP6,
A6NDG6,
P95896,
Q9CZA6,
Q5ND28,
Q23445,
P86410,
A6QQY2,
Q9D787,
Q803E1,
Q9GUM2,
Q5F362,
P11047,
Q8VI63,CGI_10001013
Q80XI3,
P00522,
Q9JLF6,
O35298,
Q7LFX5,
Q8WV74,CGI_10001025
P50430,
P55127,
Q9KSB2,
Q2RSB2,
Q2RSB4,
P15318,
P10090,
P06867,
Q8R2Q0,
Q9V3A4,CGI_10001049
Q01973,
Q09654,
Q8N6M6,
Q5H7C0,
Q06732,
Q6DJF8,
O00763,
Q8QG60,
Q96GP6,
P55113,CGI_10001070
O15374,
O93530,
Q9ESN6,
A6NHM9,
Q09654,CGI_10001089
O42409,
P35555,
Q09654,
O75382,
P59222,
Q4PM47,
Q8CGC7,
A6BM72,
Q9Y5Z4,
Q0P5D2,CGI_10001110
Q63ZL2,
D2GXS7,
Q9FLK4,
Q9SXD5,
O50655,
P19370,
Q9DGB6,
Q9VEG6,
P20072,
Q8K0U4,
A9MUT4,CGI_10001130
A4W948,CGI_10001131
Q13263,CGI_10001132
P70627,
Q16981,
P27697,
A6H7B8,
Q5UPG5,
Q9D8N3,
Q5ZI27,
Q1JP73,
Q80UK7,
P08991,
Q6ZRF8,
Q5RE79,
Q63191,
Q9NPF2,
Q8BZG5,
Q29RH4,
Q9ESN6,
Q9ESN6,
Q09654,
Q08890,
Q6PFX9,CGI_10001187
P22897,
P18142,
P35408,
Q6ITT3,
Q9UBM8,
Q28988,
P01040,
P61217,
Q93034,
Q5RDY4,
P70705,CGI_10001203
Q6PFY8,
B1ZVD6,
A7I2G3,
P83425,
P83425,
Q8BZH4,
Q0WYX8,
Q99J25,CGI_10001221
Q3UIW5,
Q32NQ8,CGI_10001223
Q55GU0,
Q9XWD6,
Q9D4W2,
Q8CD19,
P27046,
Q5BL81,
Q6PFY8,CGI_10001233
D2GXS7,
P48725,
Q5M9N0,CGI_10001237
Q9FT69,
Q626H5,
Q9N0C7,CGI_10001245
A4IIY1,CGI_10001246
P57080,
P85970,
Q5TH69,
Q5E980,
P35251,
P29995,
Q96MM6,
Q8K0U4,
A8DYE2,
Q1L8X9,CGI_10001270
Q91VR8,
Q7Z3Z2,
Q8VDT1,
Q2M3M2,
P26221,
P43252,
P43114,
P0C6F1,
Q9MBF8,
O70277,
Q9Y345,
Q8CHB8,
Q12570,
P20594,
Q70FJ1,
Q99996,
Q96RW7,
Q3SXM5,
Q4UMH6,
Q3B7G7,
P40983,
P18106,
Q8BGC4,
A2AX52,
P18168,
Q9P225,
Q9H8W5,CGI_10001329
A2AGA4,CGI_10001331
P31645,
Q6P799,
Q8R1F9,
P75471,
B5X3I6,
C6KFA3,
Q9CPU4,
Q9NYP3,CGI_10001345
Q6R5N8,
Q3UVR3,CGI_10001347
Q16537,
Q14982,
P57756,
Q8NBH2,
Q9R1R2,CGI_10001358
P54813,CGI_10001360
P10079,
O75382,
Q58A42,
Q95NT6,
Q5M7E9,
Q9CQZ5,CGI_10001372
Q28DZ1,
Q0VCN3,
P31228,
Q966R0,CGI_10001377
Q9H0W7,
O88843,
Q99758,
B4F769,
A0JNH9,
A1L1W9,
Q9Z1L3,
Q9Z1L3,
Q5UAW9,
Q5UAW9,
Q00534,CGI_10001400
Q6ZPT1,CGI_10001405
Q9BWU0,
P29691,
O88281,
Q3UGY8,
Q5TH69,
Q9UHP3,
O75095,
Q5RDJ2,
Q7Z5L3,
Q08581,
Q9QXE5,
Q80T74,CGI_10001432
Q5R5P3,
O60870,CGI_10001441
Q8K0U4,
Q5HCP3,
Q9HBY0,
Q8QZX5,
Q9HBY0,CGI_10001451
Q8QZX5,
Q9BXJ5,
Q5DTT8,
Q06AA5,
Q9NDM2,
D2GXS7,CGI_10001460
A4IF63,
O14522,
Q09654,CGI_10001464
A3KMV5,
Q0VD59,
P55096,
Q8R3S2,
Q09654,
Q9I931,
O60488,
Q8TBB0,
Q4ZJM9,
A6BM72,
Q6ZT12,
Q09369,CGI_10001489
P49189,
Q91XQ0,
Q90YQ0,
Q11082,
Q2MKA5,
P84811,
P86730,
P18172,
Q6GNY1,
P08684,
Q96PE7,
O35857,
Q6P6M5,
Q2VLG6,
P85521,
P02746,
P13214,
Q0KK55,
Q76NI1,
Q6GQF5,
A6H603,
Q9JK45,
Q8K424,
P16157,
Q8WUD4,
P23606,CGI_10001530
P49221,
Q568R1,
Q04982,
Q5RJ80,
A4IF63,
Q5GLH2,CGI_10001538
Q7SIC1,
O08873,
Q9EQW6,CGI_10001543
Q24207,
O75594,
Q6AYJ4,
Q16760,
Q16760,
Q16760,
A6RJ45,CGI_10001553
P10630,
A0JM12,
Q9ES30,
Q07837,
Q9W6V5,
P49013,
P08575,
Q5I0S8,CGI_10001563
P16884,
Q6DJ71,
Q54G05,
Q02224,
Q90YC0,
P35555,
Q94126,CGI_10001573
Q9I9E1,
D2GXS7,
Q09654,
Q9Y345,
Q9W0E8,
O43174,
P04112,
Q16706,
P54278,
D2GXS7,
P48025,CGI_10001591
Q28983,CGI_10001592
Q9ESN6,
Q29RH4,
P23471,CGI_10001597
P16066,
A5PLK2,
P43249,
Q504Y0,
Q28021,
Q7SIC1,
O08523,
O60303,
Q5XK85,
P48612,
Q9GZV8,CGI_10001616
Q9H8W5,
O60870,
Q32KY9,
Q9NQ86,
P82003,
Q6DIB5,
Q6DIB5,
Q07263,
P81127,
Q16975,
O95198,
O75382,
Q53G44,
P12938,
A0JM12,
Q9UTA8,
P72745,
P59235,
O43301,
Q3T0F5,
Q9D853,
Q9NZB2,
Q460N5,
O96064,
A6QQU6,
O43301,
Q6ZAC1,
P80303,
P34826,
Q80WY3,
Q6ZRF8,
D2GXS7,
P49242,
F7H9X2,CGI_10001664
Q9QYS2,
P60510,
Q13263,
D2GXS7,
Q6PFY8,CGI_10001673
P26496,
Q2YUN1,
C1AYB4,
Q0S4F9,
Q9S156,
P46893,
Q99946,
Q6ZRS2,
Q5R889,
Q3KRC5,CGI_10001707
P23416,
Q9HAD4,
P07686,
Q8WN22,
Q08DZ8,
Q9Z6S5,
Q80X72,
Q2YBT6,
P75424,
C0R1J9,
B9MN52,
Q3J7C1,
Q9NXG2,CGI_10001734
Q9Y5X5,
O43808,CGI_10001737
D2GXS7,
P42173,
O15146,
Q9UBG0,
Q8IX30,
P13590,
A0JNG4,
P09122,
Q6MBR6,
P52026,
B0JLI8,
Q9JHA8,
Q00232,
P33502,
Q9XNX4,
A0JM12,
Q8WXI3,CGI_10001776
Q5BKI6,
Q9BXJ5,
Q9JHU4,
Q4ZJM9,
Q66H58,CGI_10001784
O75031,
Q9BY12,
Q8TCT0,
P11276,
Q9Y3Q0,
A2ARS0,
P46952,
D2GXS7,CGI_10001794
P86856,
P98081,
P18418,
Q8BJ48,
Q52L45,CGI_10001800
Q5I0S8,
Q52L45,
A1BQQ5,
Q4ZJM9,
Q6DIB5,CGI_10001807
P46471,CGI_10001808
Q8BSY0,CGI_10001813
O43301,
Q9ESN6,
O95045,
O60583,CGI_10001819
Q7KVW5,
Q9SGZ5,
O96790,
O96790,
Q5UU75,
Q3UFY8,CGI_10001834
A4IHS0,CGI_10001835
Q9NX01,
Q5NBX1,CGI_10001839
Q5UQ35,
Q9Y251,
Q5YW75,
Q61P40,CGI_10001849
P28271,
Q99250,CGI_10001852
Q6PLK3,
Q0VA82,
Q6GPQ3,
O93530,
Q4ZJM9,
Q9W3W5,
O35516,
Q9NVM9,
Q53G44,CGI_10001869
Q9UBD5,
A7YY46,
Q6GLT8,
Q8N9L9,
O55171,
P15043,
P02711,
Q08AY6,
Q8KD74,
Q9ZHC7,
Q52813,
Q52812,
Q0AUJ6,
Q7VGC9,
Q5BIM1,
Q9XWD6,
Q1D491,
Q72GV1,
B0SF41,
Q17GM7,
Q7T3S3,
B0S733,
P41242,CGI_10001931
Q80V70,CGI_10001932
Q5NC57,
Q99848,CGI_10001934
Q2KIR8,
A2AWP8,CGI_10001937
Q9QXE2,
Q5RKI3,
P24174,
P24175,
P71241,
P71242,
P71243,
P04395,
P38097,
B7LV30,
P0A8F4,
P28249,
P0A931,
P0AAB2,
P76387,
P77414,
P71237,
P71238,
P0AC90,
P32055,
Q70PU1,CGI_10001975
P21783,
Q869W9,
P57096,
Q9ERI2,
P10805,
P37325,
P77485,
P0AD00,
P77214,
P77239,
P38054,
P24207,
P38489,
P77213,
P05825,
P13039,
P11454,
P23878,
Q58DT0,
A4IJ21,
P21613,
P35978,
Q96MM6,
Q5RFR0,
Q5SYC1,
P10079,
Q01705,
O35161,
Q9Y234,CGI_10002026
Q9P3W6,CGI_10002027
Q5T2R2,
O75884,
Q52LR7,
P13667,
Q68FE2,CGI_10002035
Q80V70,
Q8BZT9,
Q9UDY8,CGI_10002038
P42264,
P19623,
Q922K7,
Q24K15,
D8VNS9,
Q80VY9,
Q9VAC5,
Q5E9Y2,
P00582,
A5GIS6,
O86564,
Q72LB0,
B2S125,
Q0VH32,CGI_10002065
O15460,
Q6AZ60,
Q8N2E2,
Q6DFV8,
Q80V70,
A0JNC4,
A7Z4Y0,
Q39S52,
Q9CNJ4,
P94478,
P96110,
P39788,
Q8RAI7,
O31708,
P40220,
P34118,
O70497,
Q99NH0,
P25067,
P25067,
Q13507,
Q9CWU9,
Q9U3W6,
A5D6U8,
Q14656,
A6H8J1,
Q92733,
Q800L3,
Q8C8H8,CGI_10002113
Q5R991,
P0AA84,
P0AAC4,
P30749,
P0A738,
P0AF00,
P75767,
B7LJY3,
P13000,
Q32I45,
P12996,
P03764,
P09169,
P31062,
Q9ES30,
P04412,
Q20930,
D8VNS7,
P57756,
P01267,
Q3U0Y2,
Q6NZL8,
Q9UGM6,
P42765,
P82198,
Q6AY40,
Q9D2C6,
Q25011,
Q9NVM9,
Q9D581,
Q5RBP9,
Q8BKE6,
Q9JLC8,
A8KBL5,
Q9GKX6,
P45274,
Q8R965,
O66621,
B1KDW0,
Q6G868,
A9KR32,
P45250,
Q92600,
Q32KY9,
Q3MHV9,CGI_10002219
Q49A92,
Q9Y259,
Q9P2E2,
P56701,
Q6PCL9,
Q9WVR8,
Q6DEL2,
Q6GPV5,
P70451,
Q6PFY8,
P83425,
D2GXS7,
Q6ZRF8,CGI_10002238
D3ZQG6,
Q8BFR2,CGI_10002240
Q9D0E5,CGI_10002241
Q86XK2,
Q96MX6,
Q04786,
Q0II24,
Q8C8H8,
A8Y1P7,CGI_10002250
Q13442,
Q962X9,
Q9HC58,
O60333,
Q9R1S8,
Q00546,
Q28F51,
Q9VJ33,
O42842,
Q6NZW0,
D2GXS7,
O46504,
Q58806,
Q92UV9,
P15043,
P0C6F1,
Q10741,
Q8K0U4,
Q9Y490,
Q96GP6,
A6H694,
Q2T9X3,
P84817,
Q8NEA4,
A0MGZ7,
Q54G14,CGI_10002299
F7A3P2,CGI_10002310
Q2TBL6,CGI_10002311
Q8K3P0,CGI_10002314
Q4G0X4,
A7Y2W8,
Q9I925,
Q4LDE5,
P36544,
Q9W0P8,
O77819,
Q54G05,
Q80T91,
A0JM12,
Q5R8H3,
Q8C8H8,
Q6AY39,
Q9H9Y6,CGI_10002339
A0JMH2,
Q2KJA2,
Q9R141,
Q5U2U0,
Q5F416,
Q99828,
P70581,
Q96MM6,
Q22795,
P08011,CGI_10002361
Q9H7P6,
P54132,
Q5R573,
Q4ZHG4,
Q08830,
P19477,CGI_10002370
Q8N9I0,
Q9DCN1,
Q6EE31,
P79945,
Q802D3,
Q8N9I9,
Q3UIR3,
Q90X46,
P12545,CGI_10002384
Q01177,CGI_10002385
P84675,CGI_10002386
O43301,
Q5ZQU0,
Q9BXJ4,
A0JM12,
Q5RAU0,
O14815,CGI_10002395
P26927,
Q80T91,
Q01177,
P22031,
A8K0R7,
P51958,
Q5QQ53,CGI_10002413
Q5QQ53,
Q92038,
Q92038,
Q92038,
B3RNE8,
P36916,
Q91XA9,
Q6DIB5,
Q29RY7,
O75445,CGI_10002429
Q9ESN6,
A8Y1P7,
A6QLY2,
P52917,
Q8AVR4,
B0R0T1,
O15374,
Q7RTY0,
Q8N9H8,
P61162,
Q8R5C5,
Q9VY86,
Q4VBI7,
P06603,
P06603,
P06605,
P21439,CGI_10002457
Q60560,CGI_10002458
Q8K0U4,
Q9JJX8,
Q80YS5,
Q70E20,
P23469,
Q501L3,
Q6PFY8,
Q56R14,
P49963,
Q8C525,
P56359,
Q9I9H2,CGI_10002480
Q9ESN6,CGI_10002484
C7G0B5,
O43301,
A8XMW6,
Q9M0X9,
Q4ZJM9,
P32323,
O88281,
O73853,
Q92113,CGI_10002509
P00184,CGI_10002510
Q7T2L7,CGI_10002512
Q13263,
Q7JQD3,
Q92636,
A5GFZ5,
P32583,
A4K526,
Q91ZX7,CGI_10002521
Q10235,
P15101,
Q9Y5A7,
P05790,
Q8N1W0,
A2VCL2,
P86854,CGI_10002529
Q920Q2,
Q6AZB8,
Q04832,
P14133,CGI_10002542
P11881,
P67827,
Q1L8Y6,
Q5ZLT0,
Q9ESN6,
O75382,
Q9ESN6,
O95352,
P25117,
P21439,
Q9YHC5,
Q1LZF2,
Q9GNQ1,
Q9UHY8,
Q8VE97,
Q5SPB6,
P25929,
Q4R739,
Q6DFV8,
Q9U1M8,CGI_10002584
Q63418,
A7RWD2,
Q15404,
Q5RBQ7,
Q6GLX7,
Q5VV43,
O97125,CGI_10002594
P0AFQ9,
Q6NUA7,
Q56R14,
Q6NUA7,
P18503,
O75051,
P06868,
O88992,
P10079,
Q9Y6N5,CGI_10002617
P23508,
O88281,
Q2M3X9,
P07314,
Q5E9S2,CGI_10002627
P62308,
Q02357,
P31430,
Q9ES30,
A0JM12,
O15315,CGI_10002640
Q9H307,CGI_10002641
Q86SZ2,
O75382,
Q9PT60,
Q8CDK2,
Q8IYW2,
Q9D3X5,
P12394,
Q04522,
Q3TTL0,CGI_10002654
O89032,
P08953,
Q9U943,
P54961,
Q5I2E5,
F6VSS6,
P51948,CGI_10002662
Q0P5A0,
Q96L50,
P57756,
Q6TLF6,
Q7SIC1,
Q6E2N3,
Q5VWW1,
Q6PFY8,
A6H611,
Q9U3W6,
Q9IA00,
Q84J37,
Q2R0L0,
Q6IV56,
Q4V7B8,
Q9D4C1,
Q01831,
Q7JQD3,
O75382,
Q9VN14,
B2RYN7,
Q8K2J9,
E9Q349,
P17248,
Q587K4,
Q9Y224,CGI_10002700
Q9QW07,
Q9UKK3,
Q5BKL1,
Q9I931,
Q8IXR9,CGI_10002717
Q9ESN6,
Q2KIU3,
Q54KZ0,CGI_10002722
Q567G2,
Q0P5B7,
Q504G0,
Q9H204,
Q9P1Z9,
C3YWU0,
Q9C040,
Q53T59,
Q2QL91,
Q07E02,
Q07E02,
O75382,CGI_10002742
A0JM12,
Q9Y4L5,CGI_10002749
Q6NXR4,
P0AGF8,CGI_10002751
Q9ESN6,
Q61830,
Q2T9K6,
P19965,
P22897,CGI_10002756
Q8BKE6,
O95236,
P08645,
Q92963,
Q9NVE7,
Q6BD04,
Q9WVD0,
P04069,
P53007,
Q8TE56,
P28222,
P16157,
Q9ESN6,
P18841,
Q8CBH5,
Q4UMH6,
Q8MPM1,
Q1LUQ4,
Q9D4H9,
Q96MM6,
Q8K0U4,
B5X7X4,
P84169,
Q5R7A8,
Q9P215,
Q3UI66,
Q96M86,
Q6DD32,
O94759,
Q6KCD5,
P17248,
Q9ULJ7,
Q5U312,
Q8N413,
P16157,
P83425,
Q5HDB2,
O97125,CGI_10002823
Q5M7K0,CGI_10002826
P60510,
Q02576,
P25104,
P98068,
Q8BID8,
Q969S8,
Q9NUV9,
P86854,
P86854,
P62489,
Q60803,
P62866,
Q9U6M0,CGI_10002845
O70277,
Q9ESN6,
P18503,
Q23157,
Q8R508,
Q3SX45,
Q99L47,
B7ZMP1,
Q5ZLM0,
Q9CQ60,
Q8BG30,
P19327,
Q8IXQ4,
Q28988,
P40927,
Q6TLH3,
Q70CQ2,
Q70CQ2,
P86730,
P20241,
P11047,
A6QLI1,
Q96AY4,
O14657,
P41951,CGI_10002896
Q6DIB5,
Q5XIJ8,
Q2TA16,
Q9CX98,
Q67FQ3,CGI_10002905
Q7Z5L3,
Q5RJ80,
Q3SZZ7,
Q14746,
Q09662,
Q95WA4,
P04359,
Q9P2Y5,
P27446,
Q14669,
P16157,
Q6R520,
P90893,
Q5RCY5,
Q58CN9,
P03689,
Q5RCY2,
Q6IMI6,
P00437,CGI_10002939
Q5ZI27,
P16157,
B9A8D7,
A2ARV4,
P86854,
Q9BXJ4,
D2GXS7,
Q54JW9,
O75382,
O75382,
Q9Y6R4,
Q9I927,
Q9UBS5,
P41044,
P41044,
Q9GKT2,
Q9QXW9,
P27512,CGI_10002984
Q6PDJ6,
Q5ZL00,
Q5EAR6,
P30664,
A8WGF4,
P25666,
D2GXS7,
P45961,
P13670,
Q54NP8,CGI_10003000
B3DK56,
P86854,
A2A6A1,
Q1KKR9,
O15303,
Q4V8D7,
Q9Y4A5,
P81134,
Q8K0S9,
Q5XI81,
Q9VN14,CGI_10003022
Q8WZ42,
A2RUS2,
Q7SIC1,
A4QNN3,
P20594,
Q2NL27,CGI_10003034
Q5ZI27,
P51521,
Q9QXW2,
Q6E2N3,
P61212,
Q13247,
D2GXS7,
D2GXS7,
O75382,CGI_10003056
Q17QE5,
Q9Y6D5,CGI_10003058
Q6PC30,
O70165,
Q8N5I4,
Q969S3,
Q90Y35,
O61462,
Q0VFN8,
Q5PQQ4,
Q3TBT3,
Q8NDM7,
A0RM89,
Q6Q899,CGI_10003083
Q7YRN1,
Q28EB4,
Q5R652,CGI_10003087
D2GXS7,
Q6NRT5,
Q6P1R4,
O35245,
Q8BI06,
Q923L3,
Q6PFY8,CGI_10003104
Q9ESN6,
P13055,
P18091,
Q6PCJ1,
P17342,CGI_10003117
Q96RW7,
O14594,
O14744,CGI_10003120
Q90837,
D8VNS7,
D8VNS7,
Q8C525,
A0AVT1,
Q5RBL0,
Q0V8M0,CGI_10003133
P08953,
Q54JW9,
D2GXS7,
Q6GL89,
Q1T7C1,
A7YWD2,
Q6UXP7,
Q07598,
Q8IUN9,CGI_10003144
Q8NDM7,
Q80T11,
Q8JFN7,
Q5ND28,
Q6P6V6,
A7MB45,
Q6DF67,
O95479,
Q5T5U3,
Q9UBT7,
Q5ZJ85,
Q4ZJM9,
Q4U2R1,
Q9UPY8,
Q5E9K0,CGI_10003170
Q9Y2P8,
Q8CFD5,
Q1LZA0,
O89000,
Q3SZZ7,CGI_10003176
Q9UQP3,
Q6INN8,
Q6INN8,
Q05187,
P46467,
P10039,
Q9UTA8,CGI_10003190
P30430,CGI_10003191
Q20191,
P15989,
Q8R173,
O75382,
Q9DBR7,
Q9D864,
D2GXS7,
D2GXS7,
Q69ZS0,
Q6ZMN7,
P54921,
Q9PTG8,
D2GXS7,
Q8BV79,
O15050,
Q0VAA2,
A0JPI9,
P19827,
Q01285,
Q5RBP9,
O75382,
Q5PQR4,CGI_10003237
Q9GZV8,
Q9VCA2,
Q9VCA2,
Q9VCA2,
Q9VCA2,
Q13227,
Q86UT8,CGI_10003244
Q9Y6R7,
Q7PHR1,
Q1RMS8,
Q13263,
Q13263,
Q9R0Q8,
Q7SXB3,
Q697L1,
Q02858,
Q7PPU9,
Q3UES3,
Q9VAC5,
Q9VCA2,
P86854,CGI_10003266
Q9MYW3,
Q16G71,
Q5XKA2,
Q90871,
Q19417,
B7QDG3,
P25023,
Q555N7,
Q96KG7,
Q6DIB5,
Q7SY23,
P51954,
A2AX52,
A6NMZ7,
B4L0G9,
Q8BUL5,
B1WB06,
Q80W14,
O19015,
Q8R151,
Q9P2E3,CGI_10003301
P19477,
P12804,
Q24K15,
Q96C23,
Q5IS52,
Q9R0W9,
P49139,CGI_10003308
Q80X45,
P41252,
Q866D6,
P10079,
P78504,
Q9Y2G3,
Q3ZBH3,
Q8BJ64,
Q5E9W3,
P04929,
Q6AXS0,
Q8N5T2,
Q63931,
Q3T0F5,CGI_10003329
Q5JPI9,CGI_10003330
Q6DEZ2,
Q5RA02,
A1YGA2,
Q6PFY8,
P98107,
Q9VCA2,
Q9P2Z0,
Q64425,
Q2PC93,
Q9MBF8,
Q92851,
P55866,
Q5TUE9,
Q9PWF7,
P00432,
Q19417,
P16157,
P13216,
O75095,
P28840,
Q9LR78,CGI_10003368
Q7T070,
Q01460,
Q4PLW0,
Q25410,CGI_10003373
Q80T91,
Q9DBU0,
Q66HF2,
Q8VCE1,
P51650,
Q05AM5,
P14543,
Q02280,CGI_10003384
P35822,
Q95KI5,CGI_10003390
Q58DZ6,
Q6IMK3,
Q9Y576,
D2GXS7,
P79134,CGI_10003395
Q8AWF2,
Q9H1A4,
Q9H3S7,
P59222,
Q05B52,
Q28983,CGI_10003405
F7H9X2,CGI_10003409
